ciudad,codigo,UE,A111A,H001A,J000A,A121A,Q000A,Q000B,A700A,A131A
04002,4311,61,486.248,803.0,55.012,256.679,218.717,23.874,1672.684,229.569
04002,43111,13,36.32,136.0,9.521,33.144,127.533,11.764,319.136,3.176
04002,43112,10,126.326,122.0,7.204,78.152,36.483,6.694,591.445,48.174
04002,431121,4,9.235,19.0,0.953,3.823,1.234,0.22,24.546,5.412
04002,431122,4,,,,,,,,
04002,43113,11,3.12,46.0,0.865,1.147,11.147,1.194,14.972,1.973
04002,43114,2,,,,,,,,
04002,43116,4,,,,,,,,
04002,43117,2,,,,,,,,
04002,4312,9,167.29,458.0,28.714,58.585,100.062,15.443,351.509,108.705
04002,43121,9,167.29,458.0,28.714,58.585,100.062,15.443,351.509,108.705
04002,431211,6,83.152,311.0,6.685,20.271,46.927,6.97,128.863,62.881
04002,433,17,27.115,63.0,3.61,3.637,3.803,0.613,137.067,23.478
04002,4331,3,,,,,,,,
04002,46,5235,2559.695,15052.0,274.608,979.932,2038.876,214.367,9204.543,1579.763
04002,461,2912,363.54,5027.0,35.59,102.296,187.989,13.577,888.743,261.244
04002,4611,2639,294.926,4521.0,31.488,74.442,166.168,12.167,697.68,220.484
04002,46111,1609,143.088,2809.0,7.348,29.835,104.922,6.066,265.618,113.253
04002,46112,490,78.56,767.0,3.541,15.649,18.781,1.557,187.11,62.911
04002,461121,195,51.673,365.0,1.974,12.002,11.096,0.881,126.904,39.671
04002,461122,164,20.415,257.0,1.423,2.38,5.683,0.484,44.335,18.035
04002,46113,302,21.238,442.0,3.081,4.805,4.999,0.513,47.919,16.433
04002,46115,19,24.8,117.0,10.059,17.863,14.343,2.158,125.764,6.937
04002,4612,273,68.614,506.0,4.102,27.854,21.821,1.41,191.063,40.76
04002,46121,273,68.614,506.0,4.102,27.854,21.821,1.41,191.063,40.76
04002,461213,76,,,,,,,,
04002,462,169,,,,,,,,
04002,4621,161,748.143,2146.0,30.863,313.635,565.435,34.592,3263.598,434.508
04002,46211,161,748.143,2146.0,30.863,313.635,565.435,34.592,3263.598,434.508
04002,464,173,108.497,769.0,27.073,49.44,27.686,2.32,400.579,59.057
04002,4641,173,108.497,769.0,27.073,49.44,27.686,2.32,400.579,59.057
04002,46411,120,88.728,630.0,24.561,38.328,17.612,1.509,363.156,50.4
04002,467,208,155.541,837.0,23.261,50.173,454.76,112.666,419.231,105.368
04002,4671,208,155.541,837.0,23.261,50.173,454.76,112.666,419.231,105.368
04002,48-49,51,648.08,1298.0,105.822,212.606,383.167,49.862,218.003,435.474
04002,485,14,90.729,537.0,28.12,49.912,120.945,20.02,50.961,40.817
04002,4852,1,,,,,,,,
05002,31-33,288,6980.271,38503.0,3029.357,2860.355,866.186,72.595,2921.32,4119.916
05002,311,83,42.994,256.0,4.453,35.344,17.029,1.349,35.418,7.65
05002,3115,13,,,,,,,,
05002,31151,1,,,,,,,,
05002,3116,1,,,,,,,,
05002,31161,1,,,,,,,,
05002,3118,68,37.081,191.0,3.654,26.808,10.5,0.967,26.87,10.273
05002,31181,42,12.528,107.0,1.114,8.468,3.594,0.337,8.473,4.06
05002,311812,42,12.528,107.0,1.114,8.468,3.594,0.337,8.473,4.06
05002,31183,26,24.553,84.0,2.54,18.34,6.906,0.629,18.397,6.213
05002,312,16,13.626,62.0,1.526,7.359,8.687,0.992,7.374,6.267
05002,3121,16,13.626,62.0,1.526,7.359,8.687,0.992,7.374,6.267
05002,31211,16,13.626,62.0,1.526,7.359,8.687,0.992,7.374,6.267
05002,327,14,20.346,72.0,3.216,8.774,10.111,1.552,8.775,11.572
05002,3273,10,13.93,32.0,1.26,6.17,7.572,1.297,6.17,7.76
05002,3274,1,,,,,,,,
05002,43,65,526.37,1165.0,89.436,111.797,87.981,10.07,637.25,414.573
05002,431,15,490.589,934.0,78.663,97.999,55.852,6.419,559.711,392.59
05002,4311,7,146.363,190.0,25.53,37.093,18.2,2.155,192.573,109.27
05002,43111,1,,,,,,,,
05002,43116,1,,,,,,,,
05002,4312,8,344.226,744.0,53.133,60.906,37.652,4.264,367.138,283.32
05002,43121,8,344.226,744.0,53.133,60.906,37.652,4.264,367.138,283.32
05002,431211,6,,,,,,,,
05002,46,1690,812.56,5452.0,125.22,259.088,447.744,35.367,2775.285,553.472
05002,461,1011,140.143,1889.0,17.315,31.314,72.319,6.947,312.385,108.829
05002,4611,955,123.134,1620.0,15.403,24.875,59.538,5.239,263.122,98.259
05002,46111,843,58.622,1226.0,1.717,11.167,28.029,2.165,110.169,47.455
05002,46112,24,36.329,161.0,6.109,8.253,11.58,0.972,103.195,28.076
05002,461121,20,,,,,,,,
05002,461122,2,,,,,,,,
05002,46113,8,4.773,39.0,0.933,1.382,6.98,0.873,10.529,3.391
05002,46115,3,2.806,13.0,0.423,0.074,7.425,0.379,6.078,2.732
05002,4612,56,17.009,269.0,1.912,6.439,12.781,1.708,49.263,10.57
05002,46121,56,17.009,269.0,1.912,6.439,12.781,1.708,49.263,10.57
05002,461213,4,,,,,,,,
05002,462,66,293.096,1354.0,48.901,116.07,182.257,13.365,1195.279,177.026
05002,4621,64,,,,,,,,
05002,46211,64,,,,,,,,
05002,464,64,55.421,309.0,11.018,26.099,45.789,1.689,158.453,29.322
05002,4641,64,55.421,309.0,11.018,26.099,45.789,1.689,158.453,29.322
05002,46411,51,51.269,276.0,9.823,24.45,43.626,1.51,152.206,26.819
05002,467,89,47.935,290.0,9.389,8.79,36.203,3.121,90.805,39.145
05002,4671,89,47.935,290.0,9.389,8.79,36.203,3.121,90.805,39.145
05002,48-49,43,216.206,787.0,54.593,99.858,427.555,45.105,104.785,116.348
05002,485,11,72.423,397.0,16.616,41.354,78.593,13.953,42.977,31.069
05018,31-33,891,42925.243,19368.0,4302.19,21230.26,63918.827,1508.716,22780.571,21694.983
05018,311,366,332.366,1040.0,59.377,233.992,95.93,5.826,238.179,98.374
